num;contract;kod;period;date;post;executor;attorney;title;short;position;client;regulation
5;24.07.2023 № 69-У-059/23;ГКБ им. В.В. Вересаева;с 01.02.2024 по 30.04.2024;02.05.2024;менеджера;Шубенкова Алексея Андреевича;доверенности от 20.02.2024 № 02/24;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.В. Вересаева Департамента здравоохранения города Москвы""";ГБУЗ «ГКБ им. В.В. Вересаева ДЗМ»;заместителя главного врача по экономическим вопросам;Нечаенко Тамары Геннадьевны;Доверенности от 01.01.2019 № 1
5;24.07.2023 № 69-У-059/23;ГКБ им. В.В. Вересаева;с 01.02.2024 по 30.04.2024;02.05.2024;менеджера;Шубенкова Алексея Андреевича;доверенности от 20.02.2024 № 02/24;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница им. В.В. Вересаева Департамента здравоохранения города Москвы""";ГБУЗ «ГКБ им. В.В. Вересаева ДЗМ»;заместителя главного врача по технике;Тимошкина Павла Андреевича;Доверенности от 02.07.2020 № 37
5;24.07.2023 № 69-У-059/23;ГКБ им. С.С. Юдина;с 01.02.2024 по 30.04.2024;02.05.2024;менеджера;Шубенкова Алексея Андреевича;доверенности от 20.02.2024 № 02/24;Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница им. С.С. Юдина Департамента здравоохранения города Москвы»;ГБУЗ «ГКБ им. С.С. Юдина ДЗМ»;главного врача;Галкина Всеволода Николаевича;Устава
5;24.07.2023 № 69-У-059/23;ГКБ1 им. Н.И. Пирогова;с 01.02.2024 по 30.04.2024;02.05.2024;менеджера;Шубенкова Алексея Андреевича;доверенности от 20.02.2024 № 02/24;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 1 им. Н.И. Пирогова Департамента здравоохранения города Москвы""";ГБУЗ «ГКБ № 1 им. Н.И. Пирогова ДЗМ»;главного врача;Хайруллина Ильдара Индусовича;Устава
5;24.07.2023 № 69-У-059/23;ГКБ31 им. Академика Г.М. Савельевой;с 01.02.2024 по 30.04.2024;02.05.2024;менеджера;Шубенкова Алексея Андреевича;доверенности от 20.02.2024 № 02/24;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 31 им. Академика Г.М. Савельевой Департамента здравоохранения города Москвы""";ГБУЗ «ГКБ № 31 им. Академика Г.М. Савельевой ДЗМ»;главного врача;Ефремовой Натальи Михайловны;Устава
5;24.07.2023 № 69-У-059/23;ГКБ67 им. Л.А. Ворохобова;с 01.02.2024 по 30.04.2024;02.05.2024;менеджера;Шубенкова Алексея Андреевича;доверенности от 20.02.2024 № 02/24;Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 67 им. Л.А. Ворохобова Департамента здравоохранения города Москвы»;ГБУЗ «ГКБ № 67 им. Л.А. Ворохобова ДЗМ»;руководителя информационно-аналитического центра;Назарова Андрея Анатольевича;Приказа от 30.06.2023 № 463-П
5;24.07.2023 № 69-У-059/23;ГП11;с 01.02.2024 по 30.04.2024;02.05.2024;менеджера;Шубенкова Алексея Андреевича;доверенности от 20.02.2024 № 02/24;Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 11 Департамента здравоохранения города Москвы»;ГБУЗ «ГП № 11 ДЗМ»;главного врача;Борисова Алексея Геннадьевича;Устава
5;24.07.2023 № 69-У-059/23;ГП175;с 01.02.2024 по 30.04.2024;02.05.2024;менеджера;Шубенкова Алексея Андреевича;доверенности от 20.02.2024 № 02/24;Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 175 Департамента здравоохранения города Москвы»;ГБУЗ «ГП № 175 ДЗМ»;главного врача;Дорошевой Жанны Владимировны;Устава
5;24.07.2023 № 69-У-059/23;ГП209;с 01.02.2024 по 30.04.2024;02.05.2024;менеджера;Шубенкова Алексея Андреевича;доверенности от 20.02.2024 № 02/24;Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 209 Департамента здравоохранения города Москвы»;ГБУЗ «ГП № 209 ДЗМ»;главного врача;Мацакяна Артака Мацаковича;Устава
5;24.07.2023 № 69-У-059/23;ГП212;с 01.02.2024 по 30.04.2024;02.05.2024;менеджера;Шубенкова Алексея Андреевича;доверенности от 20.02.2024 № 02/24;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 212 Департамента здравоохранения города Москвы""";ГБУЗ «ГП № 212 ДЗМ»;главного врача;Смирнова Андрея Павловича;Устава
5;24.07.2023 № 69-У-059/23;ГП220;с 01.02.2024 по 30.04.2024;02.05.2024;менеджера;Шубенкова Алексея Андреевича;доверенности от 20.02.2024 № 02/24;Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 220 Департамента здравоохранения города Москвы»;ГБУЗ «ГП № 220 ДЗМ»;главного врача;Тяжельникова Андрея Александровича;Устава
5;24.07.2023 № 69-У-059/23;ГП23;с 01.02.2024 по 30.04.2024;02.05.2024;менеджера;Шубенкова Алексея Андреевича;доверенности от 20.02.2024 № 02/24;Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 23 Департамента здравоохранения города Москвы»;ГБУЗ «ГП № 23 ДЗМ»;главного врача;Гординой Ольги Андреевны;Устава
5;24.07.2023 № 69-У-059/23;ГП45;с 01.02.2024 по 30.04.2024;02.05.2024;менеджера;Шубенкова Алексея Андреевича;доверенности от 20.02.2024 № 02/24;Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 45 Департамента здравоохранения города Москвы»;ГБУЗ «ГП № 45 ДЗМ»;главного врача;Сваровски Екатерины Евгеньевны;Устава
5;24.07.2023 № 69-У-059/23;ГП46;с 01.02.2024 по 30.04.2024;02.05.2024;менеджера;Шубенкова Алексея Андреевича;доверенности от 20.02.2024 № 02/24;"Государственное бюджетное учреждение здравоохранения города Москвы ""Городская поликлиника № 46 Департамента здравоохранения города Москвы""";ГБУЗ «ГП № 46 ДЗМ»;главного врача;Серова Дениса Владимировича;Устава
